customer_id,signup_date,age,gender,city,plan,tenure_months,monthly_charges,total_charges,support_tickets,last_login_days,satisfaction_score,churned,cancellation_reason
C00632,2020-10-12,69.0,Female,Chennai,Premium,58,77.93,4519.94,2,8,8.0,0,
C00635,2023-06-09,34.0,M,Pune,Standard,5,50.99,254.95,1,26,9.0,0,
C00964,2021-03-04,37.0,M,Mumbai,Premium,8,73.85,590.80,0,1,8.0,0,
C00626,2022-08-21,,F,Hyderabad,Basic,27,31.07,838.89,0,11,7.0,0,
C00366,2019-03-07,56.0,M,Delhi,Standard,41,40.46,1658.86,2,10,9.0,0,
C00721,2021-03-01,37.0,F,Mumbai,Standard,68,54.31,3693.08,0,14,9.0,0,
C00751,2021-08-09,38.0,Female,Kolkata,Basic,39,37.08,1446.12,0,18,9.0,0,
C00534,2023-04-21,43.0,F,Pune,Basic,41,32.9,1348.90,0,8,9.0,0,
C00520,2019-12-07,58.0,M,Hyderabad,Basic,25,34.99,874.75,1,15,9.0,0,
C00071,2019-12-26,,M,Bengaluru,Basic,51,24.13,1230.63,2,1,5.0,0,
C00946,2022-02-17,34.0,Male ,Jaipur,Standard,34,48.05,1633.70,1,3,8.0,0,
C00437,2021-06-01,32.0,M,Kolkata,Premium,34,79.65,2708.10,1,22,9.0,0,
C00959,2021-01-20,38.0,male,Kolkata,Premium,17,80.4,1366.80,2,8,7.0,0,
C00441,2020-07-31,36.0,F,Bengaluru,Basic,15,26.79,401.85,1,7,8.0,0,
C00250,2021-07-30,24.0,F,Bengaluru,Basic,56,15.64,875.84,1,30,7.0,0,
C00616,2022-07-15,23.0,Female,Pune,Standard,35,55.63,1947.05,1,10,9.0,0,
C00645,2022-01-24,34.0,F,Bengaluru,Premium,37,69.45,2569.65,1,4,6.0,0,
C00553,2019-07-24,42.0,M,Chennai,Basic,8,27.86,222.88,2,7,6.0,1,service
C00550,2020-03-13,46.0,F,Bengaluru,Standard,69,44.2,3049.80,1,11,7.0,0,
C00102,2019-01-28,54.0,M,Bengaluru,Basic,54,24.3,1312.20,1,17,6.0,0,
C00266,2022-02-19,50.0,M,Bengaluru,Standard,39,53.37,2081.43,2,19,7.0,1,moved
C00732,2023-11-06,199.0,F,Kolkata,Standard,33,50.63,1670.79,1,12,9.0,0,
C00214,2019-11-02,32.0,Male ,Jaipur,Standard,57,56.19,3202.83,2,14,7.0,0,
C00605,2019-03-09,30.0,M,Hyderabad,Premium,68,,4821.88,0,5,9.0,0,
C00598,2019-01-05,48.0,F,Kolkata,Premium,70,54.93,3845.10,1,20,8.0,0,
C00255,2020-01-05,35.0,M,Pune,Basic,54,21.78,1176.12,1,18,7.0,0,
C00831,2019-12-04,43.0,F,Mumbai,Standard,37,50.18,1856.66,1,7,7.0,0,
C00290,2022-08-17,37.0,Female,Pune,Standard,16,52.74,843.84,1,14,7.0,0,
C00555,2022-05-07,37.0,F,Pune,Standard,67,48.89,3275.63,3,16,6.0,0,
C00890,2022-04-28,18.0,F,Pune,Premium,35,62.96,2203.60,0,11,9.0,0,
C00469,2021-01-17,51.0,F,Hyderabad,Standard,39,54.35,2119.65,0,7,9.0,0,
C00351,2019-11-01,42.0,F,Delhi,Basic,19,32.85,624.15,2,3,7.0,1,price
C00097,2021-09-29,22.0,F,Bengaluru,Premium,23,57.29,1317.67,3,3,7.0,0,
C00545,2022-05-31,35.0,M,Chennai,Basic,8,25.11,200.88,0,7,9.0,0,
C00992,2020-04-25,56.0,M,Chennai,Premium,23,73.76,1696.48,2,14,8.0,0,
C00077,2020-08-24,33.0,male,Kolkata,Standard,13,51.72,672.36,1,19,7.0,0,
C00299,2021-03-28,18.0,M,Kolkata,Basic,12,16.91,202.92,2,12,6.0,1,competitor
C00210,2020-04-22,34.0,F,Hyderabad,Standard,49,34.76,1703.24,0,8,8.0,0,
C00704,2021-02-02,37.0,M,Chennai,Basic,51,30.52,1556.52,0,9,10.0,0,
C00159,2021-06-02,32.0,M,Bengaluru,Standard,21,40.32,846.72,0,4,8.0,0,
C00501,2019-01-02,54.0,female,Jaipur,Standard,58,,3326.88,3,8,5.0,0,
C00276,2019-02-11,43.0,F,Hyderabad,Basic,19,,572.09,0,4,8.0,0,
C00335,2023-11-02,38.0,M,Bengaluru,Premium,28,60.72,1700.16,0,22,10.0,0,
C00599,2019-02-01,41.0,F,Delhi,Premium,6,73.38,440.28,2,7,7.0,1,unknown
C00782,2023-04-14,37.0,F,Kolkata,Basic,29,27.64,801.56,1,7,8.0,0,
C00706,2021-05-01,26.0,F,Bengaluru,Basic,22,17.15,377.30,0,15,,0,
C00487,2019-05-23,29.0,male,Kolkata,Basic,58,19.55,1133.90,1,9,10.0,0,
C00661,2020-01-02,18.0,F,Pune,Premium,70,89.25,6247.50,1,5,8.0,0,
C00888,2022-04-01,33.0,F,Pune,Standard,36,47.42,1707.12,0,4,9.0,0,
C00882,2021-04-28,49.0,F,Chennai,Basic,37,26.72,988.64,2,2,7.0,0,
C00446,2022-08-16,20.0,M,Pune,Premium,60,71.41,4284.60,1,9,8.0,0,
C00322,2019-11-01,36.0,M,Delhi,Basic,14,31.99,447.86,0,8,10.0,0,
C00060,2021-10-28,50.0,F,Kolkata,Premium,24,68.84,1652.16,2,16,8.0,1,competitor
C00630,2019-04-24,18.0,M,Kolkata,Premium,9,66.88,601.92,1,19,9.0,0,
C00933,2021-04-04,52.0,F,Kolkata,Standard,67,42.14,2823.38,2,15,,0,
C00334,2021-07-16,26.0,female,Kolkata,Standard,40,45.06,1802.40,2,18,,0,
C00750,2021-06-17,27.0,F,Chennai,Basic,51,21.41,1091.91,0,9,8.0,0,
C00055,2022-12-19,,male,Mumbai,Basic,54,33.37,1801.98,0,7,7.0,0,
C00024,2023-10-16,36.0,F,Bengaluru,Standard,15,54.74,821.10,2,1,8.0,1,moved
C00031,2021-04-12,64.0,,Bengaluru,Standard,66,58.65,3870.90,1,15,6.0,0,
C00347,2023-05-29,31.0,M,Pune,Standard,45,60.4,2718.00,1,3,9.0,0,
C00434,2023-05-03,18.0,M,Pune,Standard,8,47.86,382.88,1,10,8.0,0,
C00011,2022-11-17,49.0,Female,Kolkata,Basic,60,19.39,1163.40,1,4,6.0,0,
C00689,2021-03-25,32.0,F,Bengaluru,Basic,26,15.49,402.74,4,1,3.0,0,
C00245,2020-09-19,64.0,M,Kolkata,Standard,17,42.03,714.51,3,5,7.0,1,price
C00315,2021-09-30,48.0,F,Chennai,Standard,14,50.4,705.60,2,4,,0,
C00450,2020-10-13,43.0,Male ,Mumbai,Standard,72,39.03,2810.16,1,17,,0,
C00200,2019-10-19,36.0,M,Chennai,Premium,71,74.86,5315.06,1,17,7.0,0,
C00592,2020-10-07,41.0,M,Bengaluru,Basic,56,15.0,840.00,1,7,8.0,0,
C00236,2022-09-14,30.0,M,Mumbai,Standard,7,45.92,321.44,4,4,4.0,1,unknown
C00108,2022-01-21,34.0,F,Kolkata,Standard,35,47.48,1661.80,0,14,8.0,0,
C00219,2019-04-25,,F,Bengaluru,Premium,68,58.1,3950.80,0,8,,0,
C00425,2020-06-08,27.0,M,Hyderabad,Standard,31,45.33,1405.23,0,2,8.0,0,
C00175,2020-01-21,23.0,M,Kolkata,Basic,52,20.31,1056.12,3,5,7.0,0,
C00852,2022-07-13,32.0,M,Kolkata,Premium,56,49.92,2795.52,1,4,,0,
C00523,2022-08-16,54.0,F,Delhi,Standard,39,32.62,1272.18,1,3,6.0,0,
C00295,2019-06-19,35.0,female,Pune,Standard,55,66.08,3634.40,0,17,9.0,0,
C00943,2019-04-30,44.0,Male ,Delhi,Basic,4,17.17,68.68,2,34,7.0,0,
C00040,2020-01-04,46.0,M,Kolkata,Basic,21,23.28,488.88,0,6,6.0,0,
C00855,2021-04-30,41.0,M,Kolkata,Basic,31,22.75,705.25,1,12,7.0,0,
C00793,2019-04-14,44.0,M,Bengaluru,Basic,61,21.98,1340.78,2,15,9.0,0,
C00850,2020-07-12,50.0,M,Kolkata,Basic,28,25.15,704.20,2,10,8.0,0,
C00067,2022-03-19,34.0,F,Hyderabad,Basic,40,41.17,1646.80,2,12,6.0,0,
C00281,2022-12-26,44.0,female,Bengaluru,Standard,39,32.06,1250.34,0,32,9.0,0,
C00068,2020-03-09,32.0,M,Hyderabad,Standard,2,31.12,62.24,2,14,6.0,0,
C00779,2023-07-20,39.0,F,Kolkata,Basic,21,22.3,468.30,0,5,10.0,0,
C00443,2020-04-19,42.0,F,Bengaluru,Premium,70,59.84,4188.80,2,2,6.0,0,
C00884,2022-05-09,24.0,F,Kolkata,Basic,32,28.89,924.48,2,11,7.0,0,
C00300,2019-05-07,42.0,M,Bengaluru,Basic,13,37.04,481.52,3,23,5.0,1,competitor
C00519,2023-10-04,49.0,F,Kolkata,Premium,70,62.33,4363.10,0,8,10.0,0,
C00333,2020-11-10,30.0,M,Bengaluru,Basic,54,20.73,1119.42,4,28,2.0,0,
C00921,2020-06-13,34.0,M,Kolkata,Standard,33,51.6,1702.80,3,28,,0,
C00974,2023-07-28,45.0,Female,Hyderabad,Standard,39,56.69,2210.91,1,2,6.0,0,
C00935,2021-06-10,42.0,M,Delhi,Basic,51,25.52,1301.52,0,14,8.0,0,
C00870,2020-10-08,37.0,Male ,Bengaluru,Premium,13,65.52,851.76,0,7,7.0,0,
C00925,2022-08-24,36.0,M,Chennai,Standard,56,35.02,1961.12,0,16,,0,
C00185,2020-10-18,43.0,M,Chennai,Premium,22,65.95,1450.90,0,8,10.0,0,
C00517,2023-02-05,46.0,M,Mumbai,Basic,27,43.65,1178.55,1,32,7.0,0,
C00089,2019-05-01,44.0,Male ,Pune,Basic,59,28.75,1696.25,0,22,8.0,0,
C00064,2019-03-05,45.0,,Mumbai,Premium,29,64.64,1874.56,0,33,,0,
C00837,2022-06-08,34.0,M,Kolkata,Basic,45,19.64,883.80,1,5,7.0,0,
C00579,2021-07-02,35.0,Female,Mumbai,Standard,68,42.47,2887.96,0,10,9.0,0,
C00216,2020-05-27,50.0,F,Hyderabad,Standard,60,48.96,2937.60,2,7,7.0,0,
C00755,2019-04-18,59.0,F,Bengaluru,Basic,45,29.37,1321.65,1,17,8.0,0,
C00260,2022-03-31,,F,Chennai,Premium,11,58.18,639.98,3,25,7.0,1,competitor
C00382,2022-03-19,54.0,F,Chennai,Standard,65,,2517.45,1,10,9.0,0,
C00381,2023-01-06,39.0,Male ,Hyderabad,Basic,61,30.06,1833.66,1,8,8.0,0,
C00894,2023-01-21,38.0,F,Mumbai,Standard,5,44.93,224.65,2,3,7.0,1,price
C00972,2022-12-19,37.0,M,Bengaluru,Premium,21,80.53,1691.13,0,25,5.0,0,
C00463,2020-01-08,19.0,M,Mumbai,Basic,67,22.65,1517.55,0,9,7.0,0,
C00747,2019-12-08,60.0,male,Kolkata,Basic,49,24.5,1200.50,0,4,8.0,0,
C00680,2020-07-22,36.0,M,Bengaluru,Premium,71,64.59,4585.89,2,2,7.0,0,
C00758,2023-03-03,48.0,F,Mumbai,Standard,68,52.27,3554.36,1,7,6.0,0,
C00998,2019-08-22,,Male ,Mumbai,Standard,51,54.1,2759.10,2,16,,0,
C00313,2022-03-04,59.0,Female,Pune,Standard,67,40.87,2738.29,1,31,9.0,0,
C00087,2020-01-16,32.0,M,Pune,Standard,32,48.52,1552.64,1,17,6.0,0,
C00297,2023-09-10,42.0,female,Hyderabad,Premium,25,61.29,1532.25,2,15,8.0,0,
C00999,2022-05-11,40.0,,Delhi,Basic,11,25.15,276.65,2,8,8.0,0,
C00654,2020-06-23,25.0,M,Jaipur,Basic,28,20.79,582.12,1,5,10.0,0,
C00821,2020-09-21,32.0,F,Delhi,Standard,11,61.49,676.39,1,16,7.0,1,service
C00137,2020-10-04,42.0,,Kolkata,Standard,10,52.44,524.40,3,2,3.0,1,service
C00878,2021-10-05,35.0,M,Chennai,Basic,36,16.84,606.24,0,6,8.0,0,
C00586,2021-07-09,62.0,F,Hyderabad,Basic,41,27.05,1109.05,0,6,9.0,0,
C00731,2023-02-05,43.0,M,Bengaluru,Basic,58,24.51,1421.58,1,3,9.0,0,
C00465,2022-10-09,25.0,M,Kolkata,Standard,58,46.82,2715.56,1,5,,0,
C00623,2021-03-15,41.0,M,Pune,Basic,66,33.42,2205.72,0,9,,0,
C00169,2019-10-21,36.0,M,Bengaluru,Standard,35,64.14,2244.90,0,11,8.0,0,
C00507,2021-04-14,67.0,Female,Chennai,Standard,20,57.69,1153.80,1,18,7.0,1,price
C00452,2019-03-25,42.0,M,Hyderabad,Basic,4,34.43,137.72,6,8,2.0,1,price
C00140,2021-12-13,73.0,M,Kolkata,Standard,10,39.52,395.20,0,33,9.0,0,
C00688,2021-01-09,56.0,Male ,Pune,Basic,46,17.66,812.36,2,10,6.0,0,
C00669,2022-12-25,32.0,Male ,Bengaluru,Basic,36,26.91,968.76,0,7,10.0,0,
C00860,2023-09-11,46.0,male,Kolkata,Standard,48,42.21,2026.08,2,9,5.0,0,
C00913,2022-02-26,45.0,F,Hyderabad,Basic,58,16.62,963.96,1,30,3.0,0,
C00514,2021-06-25,37.0,F,Chennai,Basic,48,21.12,1013.76,0,6,10.0,0,
C00536,2022-01-02,46.0,M,Pune,Premium,55,59.95,3297.25,2,33,5.0,0,
C00056,2020-02-17,30.0,Male ,Chennai,Basic,19,18.08,343.52,1,4,8.0,0,
C00121,2022-04-07,26.0,M,Kolkata,Basic,27,36.29,979.83,2,3,7.0,0,
C00533,2021-11-30,33.0,,Kolkata,Premium,57,65.95,3759.15,1,19,8.0,0,
C00026,2022-04-11,34.0,M,Mumbai,Premium,57,77.17,4398.69,2,8,6.0,0,
C00073,2023-10-13,27.0,Male ,Jaipur,Basic,70,15.0,1050.00,3,7,4.0,0,
