transaction_id,item
T0001,lentils
T0001,tomatoes
T0002,chocolate
T0002,sugar
T0002,tea
T0002,tomatoes
T0002,yogurt
T0003,biscuits
T0003,butter
T0003,cheese
T0003,sugar
T0003,tea
T0004,lentils
T0004,rice
T0005,eggs
T0005,tomatoes
T0006,milk
T0007,cheese
T0008,cheese
T0008,milk
T0008,oil
T0009,butter
T0009,chicken
T0009,tomatoes
T0010,bananas
T0010,butter
T0010,cereal
T0010,chocolate
T0010,onions
T0011,bread
T0011,butter
T0011,cereal
T0011,eggs
T0011,jam
T0011,milk
T0011,yogurt
T0012,tomatoes
T0013,biscuits
T0013,bread
T0013,lentils
T0014,bananas
T0014,biscuits
T0014,cheese
T0014,onions
T0015,milk
T0016,bread
T0016,jam
T0017,milk
T0018,bananas
T0018,butter
T0018,oil
T0019,bananas
T0019,eggs
T0019,lentils
T0019,rice
T0020,bananas
T0020,bread
T0020,jam
T0020,lentils
T0020,milk
T0021,chicken
T0021,lentils
T0021,milk
T0021,rice
T0022,onions
T0022,sugar
T0022,tomatoes
T0023,bananas
T0023,lentils
T0023,rice
T0023,sugar
T0023,tea
T0024,biscuits
T0024,bread
T0024,coffee
T0024,eggs
T0024,jam
T0024,milk
T0024,sugar
T0024,yogurt
T0025,cereal
T0025,milk
T0025,oil
T0026,butter
T0027,butter
T0027,eggs
T0027,jam
T0028,bananas
T0028,biscuits
T0028,butter
T0028,eggs
T0028,milk
T0029,cereal
T0029,milk
T0029,sugar
T0030,bananas
T0030,bread
T0030,onions
T0030,tomatoes
T0031,butter
T0031,sugar
T0032,bread
T0032,butter
T0033,bread
T0033,butter
T0033,chocolate
T0033,jam
T0033,sugar
T0034,bananas
T0034,eggs
T0034,onions
T0034,sugar
T0035,bread
T0035,butter
T0035,eggs
T0035,oil
T0036,bread
T0036,tea
T0037,milk
T0038,milk
T0038,yogurt
T0039,cereal
T0039,milk
T0040,bread
T0040,jam
T0040,tea
T0040,tomatoes
T0040,yogurt
T0041,cereal
T0041,coffee
T0041,sugar
T0042,biscuits
T0042,chocolate
